title,authors,average_rating,isbn,language_code,  num_pages,ratings_count,publication_date,publisher
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,eng,224,359,2004,Houghton Mifflin Harcourt
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,eng,558,1430,2005,Pragmatic Bookshelf
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,eng,208,270244,2000,Atheneum Books for Young Readers: Richard Jackson Books
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493,eng,48,36,1994,Teacher Created Resources
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,eng,144,2067,2001,Delacorte Press
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,eng,56,6,2003,Cherry Lane Music Company
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,en-US,228,99,2005,The New Press
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,eng,304,167,2005,Changeling Press
Changeling (Changeling  #1),Delia Sherman,3.6,670059676,eng,256,978,2006,Viking Juvenile
The Changeling Sea,Patricia A. McKillip,4.06,141312629,eng,137,4454,2003,Firebird
The Changeling,Zilpha Keatley Snyder,4.17,595321801,eng,228,1176,2004,iUniverse
The Changeling,Kate Horsley,3.55,1590301943,eng,339,301,2005,Shambhala
The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,eng,369,345,1990,Ivy Books
The Known World,Edward P. Jones,3.83,61159174,eng,388,29686,2006,Amistad
The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,en-US,14,55,2004,HarperAudio
The Known World,Edward P. Jones,3.83,60749911,eng,576,22,2004,Harper
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,eng,334,1456,2006,FT Press
Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,eng,352,52,2005,Archaia
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,eng,416,562,1982,Farrar  Straus and Giroux
Uncommon Carriers,John McPhee,3.95,374280398,en-US,248,1630,2006,Farrar Straus Giroux
Heirs of General Practice,John McPhee,4.17,374519749,eng,128,268,1986,Farrar  Straus and Giroux
The Control of Nature,John McPhee,4.24,374522596,en-US,288,3498,1990,Farrar  Straus and Giroux
Annals of the Former World,John McPhee,4.34,374518734,eng,720,3115,1999,Farrar  Straus and Giroux
Coming Into the Country,John McPhee,4.22,374522871,eng,448,5704,1991,Farrar  Straus and Giroux
La Place de la Concorde Suisse,John McPhee,3.92,374519323,fre,160,698,1994,Farrar  Straus and Giroux
Giving Good Weight,John McPhee,4.23,374516006,eng,288,542,1994,Farrar  Straus and Giroux
Rising from the Plains,John McPhee,4.23,374520658,eng,208,1341,1987,Farrar  Straus and Giroux
The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,eng,81,1423,2002,Dramatists Play Service
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,eng,249,2766,1991,Vintage
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,eng,138,31,2006,Routledge
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,en-US,128,62,2006,North Light Books
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617,eng,192,860,2003,Chosen Books
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,en-US,108,77,1997,Association for Supervision & Curriculum Development
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,eng,352,153317,2002,Kingfisher
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,eng,192,55,2004,ASCD
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,eng,192,34,2003,Sovereign World
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,eng,832,11797,2003,Workman Publishing Company
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414,eng,123,34,2004,One Hour Entertainment
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,en-US,128,78,2004,North Light Books
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,eng,423,2785,1987,Ace Books
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,eng,436,38778,1987,Ace Books
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,eng,331,97494,1987,Ace Books
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,en-US,592,784,2004,Tor Books
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980,eng,480,272,1984,Putnam
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,eng,426,4789,2006,Tor Science Fiction
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008,eng,471,45388,1987,Ace Books
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,eng,192,26153,2002,Houghton Mifflin Harcourt
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,eng,544,69167,1996,Ballantine Books
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,eng,291,45,2005,Delacorte Books for Young Readers
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,en-US,256,16,2004,Thomas Nelson
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936,eng,205,174,2006,Wiley
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,325001537,eng,240,10,2000,Heinemann Drama
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,eng,336,76,2005,William Morrow Paperbacks
eBay for Dummies,Marsha Collier,3.5,470045299,eng,386,111,2006,Wiley
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,72262788,eng,260,24,2006,McGraw-Hill
Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244,eng,384,55,2004,Wiley
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,eng,260,9,2006,Wiley
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915,en-US,391,22,2004,Wiley
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,en-US,864,17,2005,Wiley
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,596523696,eng,873,166,2006,O'Reilly Media
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492,eng,240,50,2005,Citadel
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,eng,206,13,2005,Citadel
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314,eng,514,64,2007,O'Reilly Media
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,eng,838,16643,2004,Penguin Classics
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611,eng,960,109420,2002,Signet
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,eng,837,2904,2003,Penguin Books
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,822001837,eng,80,16,1965,Cliffs Notes
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,eng,803,9564,2003,Barnes & Noble Classics
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965,eng,752,474,2004,Dover Publications
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,eng,803,303,2004,Barnes & Noble
Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270,eng,360,411,2006,Mira Books
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,eng,128,1204,1987,Cambridge University Press
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,140183957,eng,160,3429,1990,Penguin Books
The Untouchable,John Banville,3.95,679767479,eng,367,2163,1998,Vintage
The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,eng,256,613,1996,Buccaneer Books
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,en-US,320,308,2005,Scribner
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,932863051,eng,100,10,1995,Clarity Press
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,742508803,eng,224,16,2000,Rowman & Littlefield Publishers
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,eng,216,10,2003,Pearson
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,1557344035,eng,48,17,1991,Teacher Created Resources
Wrinkles in Time,George Smoot/Keay Davidson,4.01,380720442,eng,360,1035,1994,Harper Perennial
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,821925326,eng,250,36,2002,EMC/Paradigm Publishing
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,eng,32,15,2002,Teaching Resources
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,606105263,spa,205,6,1984,Turtleback Books
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,751506435,eng,367,376,1994,Little  Brown Book Group
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,eng,352,3086,2006,William Morrow
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,743499344,en-US,320,352,2005,Atria Books
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,eng,331,9852,2006,Tor Books
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,eng,244,821,2004,Vintage Crime/Black Lizard
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,eng,215,731,2005,Vintage Crime/Black Lizard
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,eng,191,2897,2004,Vintage Crime/Black Lizard
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,679732527,eng,144,98,1990,Vintage
I am Charlotte Simmons,Tom Wolfe,3.42,312424442,eng,738,20888,2005,Picador USA
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,806930772,eng,48,66,2001,Sterling
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,140366601,eng,287,81,1996,Puffin
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,811201120,eng,217,981,1964,New Directions Publishing
Quiet Days in Clichy,Henry Miller,3.69,080213016X,eng,154,3381,1994,Grove Press
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,802131786,eng,318,53206,1994,Grove Press
Tropic of Capricorn,Henry Miller,3.78,802151825,eng,348,14872,1994,Grove Press
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,802151787,eng,316,3261,1994,Grove Press
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,802151809,eng,506,7805,1994,Grove Press
The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,eng,292,2699,1970,New Directions
The Portrait of a Lady,Henry James/Patricia Crick,3.78,141439637,eng,797,61640,2003,Penguin Classics
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,eng,635,392,2004,Barnes  Noble Classics
Writing,Marguerite Duras,3.75,1571290532,eng,91,778,1999,Brookline Books
The War,Marguerite Duras/Barbara Bray,3.85,1565842219,eng,192,963,1994,The New Press
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,394743040,en-US,181,2057,1986,Pantheon
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,eng,178,203,1999,One World (UK)
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,eng,464,35,1998,Interlink Publishing Group
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,eng,102,328,1998,Penguin Books
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,394431243,eng,216,1308,1995,Knopf
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,806501901,eng,132,6432,2003,Citadel
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,eng,100,3015,2011,Knopf
Treasure Island,Robert Louis Stevenson,3.83,753453800,eng,311,318753,2001,Kingfisher
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,en-US,213,420,2004,Sterling Children's Books
Treasure Island,Robert Louis Stevenson,3.83,1416500294,eng,245,5967,2005,Simon & Schuster
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,689854684,eng,64,104,2003,Atheneum Books for Young Readers
Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,517221144,en-US,272,56,2002,Gramercy Books
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,eng,232,91,2006,Abdo Publishing Company
100 Years of Lynchings,Ralph Ginzburg,4.61,933121180,eng,270,88,1996,Black Classic Press
Cien años de soledad,Gabriel García Márquez,4.07,785950109,spa,448,63,1990,French & European
On Beyond Zebra!,Dr. Seuss,4.04,394800842,eng,64,2815,1955,Random House Books for Young Readers
The Wedding Clause,Debbie Raleigh,3.6,821778250,eng,256,95,2005,Zebra
The Zebra Wall,Kevin Henkes,3.44,60733039,eng,147,217,2005,Greenwillow Books
El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,spa,239,4136,2002,Booket
The Door Into Summer,Robert A. Heinlein,4.01,345413997,eng,304,17232,1997,Del Rey
Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,eng,528,251872,1991,Ace
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,en-US,434,10293,1988,Ace Books
Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,en-US,439,15970,1985,Del Rey
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,eng,256,6898,2006,Tor Books
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,en-US,307,67803,1991,Pocket Books
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,345455290,eng,298,22091,2005,Del Rey
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,eng,368,2623,2005,Del Rey
Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,eng,256,885,1998,Ballantine Books
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,1417622857,eng,336,5,2003,Turtleback Books
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,573650969,eng,72,100,2011,Samuel French  Inc.
On Bullshit,Harry G. Frankfurt,3.57,691122946,eng,67,9358,2005,Princeton University Press
Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,eng,347,9318,2005,W. W. Norton & Company
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,671867423,en-US,317,120,1993,Simon & Schuster
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,395883970,eng,32,5239,1998,HMH Books for Young Readers
Underworld,Don DeLillo,3.92,684848155,eng,827,1505,1998,Scribner
Libra,Don DeLillo,3.99,140156046,eng,480,11857,1991,Penguin
Americana,Don DeLillo,3.43,140119485,eng,377,393,1989,Penguin Books
Running Dog,Don DeLillo,3.43,679722947,eng,256,1356,1989,Vintage Contemporaries
Cosmopolis,Don DeLillo,3.22,743244257,eng,224,460,2004,Scribner
Great Jones Street,Don DeLillo,3.48,140179178,eng,272,2492,1994,Penguin Books
The Names,Don DeLillo,3.64,679722955,eng,339,3100,1989,Vintage
Against the Day,Thomas Pynchon,4.13,159420120X,eng,1085,5296,2006,Penguin Press
V.,Thomas Pynchon,3.96,60930217,eng,547,1415,2005,Harper Perennial Modern Classics
The Crying of Lot 49,Thomas Pynchon,3.69,60931671,eng,152,2161,1999,Harper Perennial
Gravity's Rainbow,Thomas Pynchon,4.01,140283382,eng,784,762,2000,Penguin Books
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,312423209,eng,773,8086,2004,Picador USA
Vineland,Thomas Pynchon,3.69,141180633,en-US,385,702,1997,Penguin Classics
Gravity's Rainbow,Thomas Pynchon,4.01,143039946,eng,776,29764,2006,Penguin Books
Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432,eng,193,334,1985,Back Bay Books
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,140189300,eng,352,2473,1996,Penguin Classics
The Year of Magical Thinking,Joan Didion,3.89,140004314X,en-US,227,2656,2005,Knopf Publishing Group
The White Album,Joan Didion,4.17,374522219,eng,222,11889,1990,Farrar Straus Giroux
A Book of Common Prayer,Joan Didion,3.8,679754865,eng,272,2962,1995,Vintage International
Where I Was From,Joan Didion,3.86,679752862,eng,240,2842,2004,Vintage
Slouching Towards Bethlehem,Joan Didion,4.21,374521727,eng,238,26934,1990,Farrar Straus Giroux
Democracy,Joan Didion,3.81,679754857,en-US,234,2070,1995,Vintage International
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,307264874,eng,1122,1564,2006,Everyman's Library
Play It As It Lays,Joan Didion/David Thomson,3.87,374529949,eng,231,23656,2005,Farrar  Straus and Giroux
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,143039830,eng,308,43200,2006,Penguin Classics
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317,eng,203,12410,1987,Penguin Books
Ghosts (The New York Trilogy  #2),Paul Auster,3.64,014009735X,eng,96,3672,1987,Penguin Books
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762,eng,179,2998,1986,Sun and Moon Press
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,963188925,eng,256,74,1995,Sky Books (NY)
The Brooklyn Follies,Paul Auster,3.84,312426232,eng,306,17977,2006,Picador
Moon Palace,Paul Auster,3.94,140115854,eng,320,16099,1990,Penguin Books
The Music of Chance,Paul Auster,3.9,140154078,en-US,217,361,1991,Penguin Books
Travels in the Scriptorium,Paul Auster,3.23,805081453,eng,145,6688,2007,Henry Holt & Company
Leviathan,Paul Auster,3.96,140178139,eng,275,11744,1993,Penguin Books
The Red Notebook: True Stories,Paul Auster,3.77,811214982,eng,104,2390,2002,New Directions
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,2742741461,fre,1075,21,2002,Actes Sud
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,143036556,eng,608,52522,2005,Penguin Books Ltd. (London)
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,446579785,en-US,211,213,2006,Business Plus
Collapse of Complex Societies,Joseph A. Tainter,4.15,052138673X,eng,262,719,1990,Cambridge University Press
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,743203046,eng,544,4762,2001,Simon  Schuster
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,034543871X,eng,272,62,2002,Ballantine Books
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,393318281,eng,576,278,1998,W. W. Norton  Company
My Inventions,Nikola Tesla,4.01,1599869942,eng,88,2862,2006,Filiquarian Publishing  LLC.
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,806519606,eng,542,2829,2001,Citadel
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,822549204,eng,144,105,1994,Lerner Publications
Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,932813860,eng,100,102,2000,Adventures Unlimited Press
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,373792689,eng,249,478,2006,Harlequin Blaze
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,974514055,en-US,828,1577,2004,Pragmatic Bookshelf
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,764585975,eng,112,73,2000,Cliffs Notes
Lord of the Flies,William Golding,3.68,307281701,eng,6,408,2005,Listening Library (Audio)
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,812969707,eng,397,1693,2006,Random House
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,60255080,eng,216,1,1989,HarperCollins Publishers
The Lovely Bones,Alice Sebold,3.81,330485385,en-GB,328,6485,2003,Picador
The Lovely Bones,Alice Sebold,3.81,159413023X,en-US,532,367,2004,Large Print Press
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,345360354,eng,224,1371,1990,Ballantine Books
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,321303474,en-US,296,793,2005,Peachpit Press
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,321430840,en-US,456,549,2006,Peachpit Press
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,3822840858,mul,575,288,2005,Taschen
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,743264460,eng,245,26381,2006,Scribner
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,743236017,eng,272,62089,2004,Scribner
Vice (V  #8),Jane Feather,3.51,553572490,eng,419,474,1996,Bantam
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,60589469,eng,540,166046,2006,HarperTorch
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,802789471,eng,32,1773,2005,Walker & Company
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,688060692,en-GB,408,286,1990,William Morrow Paperbacks
Motorcycle Basics Techbook,John Harold Haynes,3.85,185960515X,eng,222,40,2002,Haynes Manuals N. America  Inc.
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,1592530877,eng,191,27,2004,Rockport Publishers
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,451528808,eng,304,7300,2003,Signet Classics
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,192833987,eng,1392,211671,1998,Oxford University Press
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,486451380,eng,352,2403,2006,Dover Publications
Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,452011876,eng,1168,322483,1999,Plume
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,451163087,eng,224,2750,1963,Signet Book
The Fountainhead,Ayn Rand,3.87,452286751,en-US,752,1886,2005,Dutton
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,451163931,eng,176,11462,1964,Signet
Anthem,Ayn Rand,3.63,452281253,eng,105,110952,1999,NAL
We the Living,Ayn Rand/Leonard Peikoff,3.91,451187849,eng,464,23199,1996,Signet
